Reg;Aircraft Type;manufacturer_id;airline_id;Delivered;Status;Age (years);usage_id
G-LOBX;Bombardier Global 7500 (BD-700-2A12);6;1;22/03/2021;Active;4.96;1
G-LOBY;Bombardier Global 7500 (BD-700-2A12);6;1;15/01/2024;Active;2.14;1
LX-AGD;Gulfstream G700 (GVIII-G700);19;2;21/03/2025;Active;0.96;1
N441FF;Saab 340B+ ISR;25;3;14/08/2018;Active;7.56;4
LX-ECV;Boeing 747-4HQERF;5;4;30/10/2013;Active;12.35;2
LX-GCL;Boeing 747-467F;5;4;22/08/2016;Active;9.54;2
LX-ICL;Boeing 747-467F;5;4;13/09/2017;Active;8.48;2
LX-JCV;Boeing 747-4EVERF;5;4;27/05/2015;Active;10.78;2
LX-KCL;Boeing 747-4HAERF;5;4;28/05/2019;Active;6.78;2
LX-LCL;Boeing 747-4HAERF;5;4;29/04/2019;Active;6.86;2
LX-MCL;Boeing 747-4HAERF;5;4;13/05/2019;Parked;6.82;2
LX-NCL;Boeing 747-4EVERF;5;4;19/02/2020;Active;6.05;2
LX-OCV;Boeing 747-4R7F;5;4;01/06/2018;Active;7.77;2
LX-RCV;Boeing 747-4R7F;5;4;19/12/2019;Active;6.22;2
LX-SCV;Boeing 747-4R7F;5;4;30/06/2021;Active;4.69;2
LX-TCV;Boeing 747-4R7F;5;4;25/05/2022;Active;3.79;2
LX-VCA;Boeing 747-8R7F;5;4;08/03/2013;Active;13.0;2
LX-VCB;Boeing 747-8R7F;5;4;12/10/2011;Active;14.4;2
LX-VCC;Boeing 747-8R7F;5;4;23/03/2012;Active;13.96;2
LX-VCD;Boeing 747-8R7F;5;4;13/10/2011;Active;14.4;2
LX-VCE;Boeing 747-8R7F;5;4;24/05/2012;Active;13.79;2
LX-VCF;Boeing 747-8R7F;5;4;12/09/2012;Active;13.48;2
LX-VCG;Boeing 747-8R7F;5;4;19/11/2012;Active;13.3;2
LX-VCH;Boeing 747-8R7F;5;4;15/05/2013;Active;12.81;2
LX-VCI;Boeing 747-8R7F;5;4;26/09/2013;Active;12.45;2
LX-VCJ;Boeing 747-8R7F;5;4;30/09/2014;Active;11.44;2
LX-VCK;Boeing 747-8R7F;5;4;24/07/2014;Active;11.62;2
LX-VCL;Boeing 747-8R7F;5;4;05/03/2015;Active;11.01;2
LX-VCM;Boeing 747-8R7F;5;4;28/09/2015;Active;10.44;2
LX-VCN;Boeing 747-8R7F;5;4;29/09/2016;Active;9.44;2
2-HSZN;Airbus A330-941;2;5;15/12/2025;Stored;0.23;4
LX-DAC;Pilatus PC-24;24;6;11/05/2023;Active;2.83;1
LX-FBC;Pilatus PC-24;24;6;10/05/2024;Active;1.83;1
LX-JVC;Pilatus PC-24;24;6;03/12/2021;Active;4.26;1
LX-KHH;Pilatus PC-24;24;6;29/04/2024;Active;1.86;1
LX-REK;Pilatus PC-24;24;6;04/10/2024;Active;1.42;1
LX-VGF;Pilatus PC-24;24;6;24/12/2020;Active;5.2;1
LX-AND;Pilatus PC-24;24;7;09/12/2022;Active;3.24;1
LX-DIO;Boeing 737-97YER(WL) BBJ3;5;7;12/11/2015;Active;10.32;1
LX-LFX;Boeing 737-7GC(WL) BBJ;5;7;10/11/2022;Active;3.32;1
LX-LTI;Airbus A318-112 ACJ Elite;2;7;28/12/2016;Active;9.19;1
LX-MCO;Airbus A319-115 ACJ;2;7;01/05/2017;Active;8.85;1
LX-SIX;Embraer Praetor 600 (EMB-550);17;7;16/04/2024;Active;1.89;1
LX-NJC;Gulfstream G500 (GVII-G500);19;8;24/06/2025;Active;0.7;1
N680SK;Bombardier CRJ-701ER (CL-600-2C10);6;9;09/01/2023;Active;3.16;1
LX-DCC;Pilatus PC-24;24;10;18/12/2020;Active;5.22;1
LX-PCA;Pilatus PC-24;24;10;14/09/2018;Active;7.48;1
LX-PCB;Pilatus PC-24;24;10;09/11/2018;Active;7.33;1
LX-PCC;Pilatus PC-24;24;10;05/08/2019;Active;6.59;1
LX-PCD;Pilatus PC-24;24;10;30/04/2020;Active;5.85;1
LX-PCE;Pilatus PC-24;24;10;14/12/2020;Active;5.23;1
LX-PCF;Pilatus PC-24;24;10;31/07/2020;Active;5.6;1
LX-PCG;Pilatus PC-24;24;10;04/08/2021;Active;4.59;1
LX-PCH;Pilatus PC-24;24;10;11/01/2022;Active;4.15;1
