manufacturer_id;manufacturer_name
1;Aérospatiale / BAC
2;Airbus
3;Antonov
4;ATR
5;Boeing
6;Bombardier
7;Bombardier Aerospace - De Havilland Canada
8;British Aerospace
9;BAC - British Aircraft Corporation
10;Cessna
11;COMAC
12;Convair
13;Dassault
14;De Havilland Canada / Viking
15;Douglas / McDonnell Douglas
16;Dornier / Fairchild Dornier
17;Embraer
18;Fokker
19;Gulfstream Aerospace Corporation
20;Handley-Page
21;Ilyushin
22;Lockheed
23;Mitsubishi
24;Pilatus Aircraft Ltd.
25;Saab
26;Short
27;Sukhoi
28;Tupolev
29;VFW-Fokker
30;Vickers-Armstrongs
