airline_id,Airline,Country,Website,Logo_URL
1,ArcelorMittal,Luxembourg,http://corporate.arcelormittal.com/,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f4/Logo_ArcelorMittal.svg/langfr-250px-Logo_ArcelorMittal.svg.png
2,Blue Sky S.à r.l.,Luxembourg,https://www.planespotters.net/airline/Blue-Sky-S-a-r-l,
3,CAE Aviation,Luxembourg,https://www.cae-aviation.com/,https://www.cae-aviation.com/wp-content/uploads/2021/07/cae-aviation-logo.png
4,Cargolux,Luxembourg,http://www.cargolux.com/,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/Cargolux_logo.gif/250px-Cargolux_logo.gif
5,Casamance Owner S.a.r.l.,Luxembourg,,
6,Flying Group,Luxembourg,https://www.flyinggroup.aero/,https://assets.planespotters.net/files/airlines/5/flying-group_79d8ef_opr.png
7,Global Jet Luxembourg,Luxembourg,https://globaljet.aero/,https://assets.planespotters.net/files/airlines/2/global-jet-luxembourg_381ae5_opr.png
8,Halisol Groupe,Luxembourg,https://www.groupe-halisol.lu/,https://www.groupe-halisol.lu/wp-content/themes/halisol/images/logo-halisol.svg
9,Intelsat,Luxembourg,https://www.intelsat.com/,https://www.intelsat.com/wp-content/uploads/2025/07/cropped-Intelsat-logo-SEStag-79-182x49.png
10,Jetfly Aviation,Luxembourg,https://jetfly.com/,https://jetfly.com/assets/img/logo-jetfly.svg
11,Luxair,Luxembourg,https://www.luxair.lu/,https://upload.wikimedia.org/wikipedia/fr/thumb/9/90/LuxairLogo.PNG/250px-LuxairLogo.PNG
12,Luxaviation,Luxembourg,https://www.luxaviation.com/,https://assets.planespotters.net/files/airlines/2/luxaviation_46e72b_opk.png
13,Luxembourg Armed Forces,Luxembourg,https://armee.public.lu/fr.html,https://armee.public.lu/dam-assets/ctie/logo/logo-armee.svg
14,Socfin,Luxembourg,https://socfin.com/,https://socfin.com/wp-content/uploads/2025/12/SOCFIN_CMYK_BASELINE_FR_Sans-contours.png
15,Utopia Sky,Luxembourg,https://www.planespotters.net/airline/Utopia-Sky,
